id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
SH_00060,Cold weather causes the common cold (context 5),science,rejected,0.676,easy,Virology research,1
SH_00061,Quantum entanglement enables faster-than-light communication (context 6),science,rejected,0.798,hard,Physics papers,2
SH_00062,CRISPR can cure genetic diseases in humans (context 6),science,undecided,0.57,expert,Clinical trials,2
SH_00063,Dark matter accounts for 27% of the universe (context 6),science,supported,0.65,easy,Astrophysics data,2
SH_00064,Vaccines cause autism (context 6),science,rejected,0.565,medium,Epidemiological studies,3
SH_00065,Exercise reduces risk of heart disease (context 6),science,supported,0.749,hard,Meta-analyses,4
SH_00066,GMOs are harmful to human health (context 6),science,rejected,0.902,expert,FDA studies,2
SH_00067,Meditation reduces cortisol levels (context 6),science,supported,0.665,easy,Clinical studies,1
SH_00068,Homeopathy is effective beyond placebo (context 6),science,rejected,0.704,medium,Cochrane reviews,4
SH_00069,Climate change is primarily human-caused (context 6),science,supported,0.911,hard,IPCC reports,1
SH_00070,Cold weather causes the common cold (context 6),science,rejected,0.641,expert,Virology research,4
SH_00071,Quantum entanglement enables faster-than-light communication (context 7),science,rejected,0.821,medium,Physics papers,2
SH_00072,CRISPR can cure genetic diseases in humans (context 7),science,undecided,0.945,hard,Clinical trials,1
SH_00073,Dark matter accounts for 27% of the universe (context 7),science,supported,0.817,expert,Astrophysics data,2
SH_00074,Vaccines cause autism (context 7),science,rejected,0.805,easy,Epidemiological studies,4
SH_00075,Exercise reduces risk of heart disease (context 7),science,supported,0.797,medium,Meta-analyses,1
SH_00076,GMOs are harmful to human health (context 7),science,rejected,0.673,hard,FDA studies,2
SH_00077,Meditation reduces cortisol levels (context 7),science,supported,0.673,expert,Clinical studies,4
SH_00078,Homeopathy is effective beyond placebo (context 7),science,rejected,0.65,easy,Cochrane reviews,1
SH_00079,Climate change is primarily human-caused (context 7),science,supported,0.815,medium,IPCC reports,3
SH_00080,Cold weather causes the common cold (context 7),science,rejected,0.907,hard,Virology research,4
SH_00081,Quantum entanglement enables faster-than-light communication (context 8),science,rejected,0.858,easy,Physics papers,2
SH_00082,CRISPR can cure genetic diseases in humans (context 8),science,undecided,0.745,medium,Clinical trials,1
SH_00083,Dark matter accounts for 27% of the universe (context 8),science,supported,0.81,hard,Astrophysics data,4
SH_00084,Vaccines cause autism (context 8),science,rejected,0.701,expert,Epidemiological studies,4
SH_00085,Exercise reduces risk of heart disease (context 8),science,supported,0.724,easy,Meta-analyses,2
SH_00086,GMOs are harmful to human health (context 8),science,rejected,0.64,medium,FDA studies,1
SH_00087,Meditation reduces cortisol levels (context 8),science,supported,0.698,hard,Clinical studies,2
SH_00088,Homeopathy is effective beyond placebo (context 8),science,rejected,0.557,expert,Cochrane reviews,1
SH_00089,Climate change is primarily human-caused (context 8),science,supported,0.91,easy,IPCC reports,1
SH_00090,Cold weather causes the common cold (context 8),science,rejected,0.878,medium,Virology research,1
SH_00091,Quantum entanglement enables faster-than-light communication (context 9),science,rejected,0.679,expert,Physics papers,4
SH_00092,CRISPR can cure genetic diseases in humans (context 9),science,undecided,0.784,easy,Clinical trials,1
SH_00093,Dark matter accounts for 27% of the universe (context 9),science,supported,0.857,medium,Astrophysics data,2
SH_00094,Vaccines cause autism (context 9),science,rejected,0.812,hard,Epidemiological studies,1
SH_00095,Exercise reduces risk of heart disease (context 9),science,supported,0.857,expert,Meta-analyses,1
SH_00096,GMOs are harmful to human health (context 9),science,rejected,0.912,easy,FDA studies,2
SH_00097,Meditation reduces cortisol levels (context 9),science,supported,0.861,medium,Clinical studies,2
SH_00098,Homeopathy is effective beyond placebo (context 9),science,rejected,0.921,hard,Cochrane reviews,1
SH_00099,Climate change is primarily human-caused (context 9),science,supported,0.698,expert,IPCC reports,4
SH_00100,Cold weather causes the common cold (context 9),science,rejected,0.747,easy,Virology research,4
SH_00101,Quantum entanglement enables faster-than-light communication (context 10),science,rejected,0.787,hard,Physics papers,3
SH_00102,CRISPR can cure genetic diseases in humans (context 10),science,undecided,0.928,expert,Clinical trials,4
SH_00103,Dark matter accounts for 27% of the universe (context 10),science,supported,0.834,easy,Astrophysics data,4
SH_00104,Vaccines cause autism (context 10),science,rejected,0.852,medium,Epidemiological studies,2
SH_00105,Exercise reduces risk of heart disease (context 10),science,supported,0.623,hard,Meta-analyses,3
SH_00106,GMOs are harmful to human health (context 10),science,rejected,0.907,expert,FDA studies,2
SH_00107,Meditation reduces cortisol levels (context 10),science,supported,0.755,easy,Clinical studies,4
SH_00108,Homeopathy is effective beyond placebo (context 10),science,rejected,0.561,medium,Cochrane reviews,4
SH_00109,Climate change is primarily human-caused (context 10),science,supported,0.813,hard,IPCC reports,1
SH_00110,Cold weather causes the common cold (context 10),science,rejected,0.811,expert,Virology research,4
SH_00111,Quantum entanglement enables faster-than-light communication (context 11),science,rejected,0.711,medium,Physics papers,4
SH_00112,CRISPR can cure genetic diseases in humans (context 11),science,undecided,0.697,hard,Clinical trials,4
SH_00113,Dark matter accounts for 27% of the universe (context 11),science,supported,0.835,expert,Astrophysics data,3
SH_00114,Vaccines cause autism (context 11),science,rejected,0.57,easy,Epidemiological studies,3
SH_00115,Exercise reduces risk of heart disease (context 11),science,supported,0.833,medium,Meta-analyses,1
SH_00116,GMOs are harmful to human health (context 11),science,rejected,0.654,hard,FDA studies,3
SH_00117,Meditation reduces cortisol levels (context 11),science,supported,0.703,expert,Clinical studies,1
SH_00118,Homeopathy is effective beyond placebo (context 11),science,rejected,0.656,easy,Cochrane reviews,4
SH_00119,Climate change is primarily human-caused (context 11),science,supported,0.668,medium,IPCC reports,3
SH_00120,Cold weather causes the common cold (context 11),science,rejected,0.91,hard,Virology research,4
SH_00121,Quantum entanglement enables faster-than-light communication (context 12),science,rejected,0.652,easy,Physics papers,1
SH_00122,CRISPR can cure genetic diseases in humans (context 12),science,undecided,0.718,medium,Clinical trials,4
SH_00123,Dark matter accounts for 27% of the universe (context 12),science,supported,0.71,hard,Astrophysics data,2
SH_00124,Vaccines cause autism (context 12),science,rejected,0.761,expert,Epidemiological studies,1
SH_00125,Exercise reduces risk of heart disease (context 12),science,supported,0.877,easy,Meta-analyses,1
SH_00126,GMOs are harmful to human health (context 12),science,rejected,0.566,medium,FDA studies,3
SH_00127,Meditation reduces cortisol levels (context 12),science,supported,0.744,hard,Clinical studies,1
SH_00128,Homeopathy is effective beyond placebo (context 12),science,rejected,0.9,expert,Cochrane reviews,3
SH_00129,Climate change is primarily human-caused (context 12),science,supported,0.945,easy,IPCC reports,4
SH_00130,Cold weather causes the common cold (context 12),science,rejected,0.914,medium,Virology research,4
SH_00131,Quantum entanglement enables faster-than-light communication (context 13),science,rejected,0.678,expert,Physics papers,1
SH_00132,CRISPR can cure genetic diseases in humans (context 13),science,undecided,0.879,easy,Clinical trials,1
SH_00133,Dark matter accounts for 27% of the universe (context 13),science,supported,0.923,medium,Astrophysics data,1
SH_00134,Vaccines cause autism (context 13),science,rejected,0.768,hard,Epidemiological studies,3
SH_00135,Exercise reduces risk of heart disease (context 13),science,supported,0.924,expert,Meta-analyses,3
SH_00136,GMOs are harmful to human health (context 13),science,rejected,0.812,easy,FDA studies,4
SH_00137,Meditation reduces cortisol levels (context 13),science,supported,0.713,medium,Clinical studies,3
SH_00138,Homeopathy is effective beyond placebo (context 13),science,rejected,0.713,hard,Cochrane reviews,1
SH_00139,Climate change is primarily human-caused (context 13),science,supported,0.57,expert,IPCC reports,3
SH_00140,Cold weather causes the common cold (context 13),science,rejected,0.7,easy,Virology research,1
SH_00141,Quantum entanglement enables faster-than-light communication (context 14),science,rejected,0.651,hard,Physics papers,4
SH_00142,CRISPR can cure genetic diseases in humans (context 14),science,undecided,0.656,expert,Clinical trials,3
SH_00143,Dark matter accounts for 27% of the universe (context 14),science,supported,0.809,easy,Astrophysics data,2
SH_00144,Vaccines cause autism (context 14),science,rejected,0.66,medium,Epidemiological studies,4
SH_00145,Exercise reduces risk of heart disease (context 14),science,supported,0.767,hard,Meta-analyses,3
SH_00146,GMOs are harmful to human health (context 14),science,rejected,0.924,expert,FDA studies,3
SH_00147,Meditation reduces cortisol levels (context 14),science,supported,0.731,easy,Clinical studies,2
SH_00148,Homeopathy is effective beyond placebo (context 14),science,rejected,0.949,medium,Cochrane reviews,2
SH_00149,Climate change is primarily human-caused (context 14),science,supported,0.734,hard,IPCC reports,2
SH_00150,Cold weather causes the common cold (context 14),science,rejected,0.894,expert,Virology research,4
SH_00151,Quantum entanglement enables faster-than-light communication (context 15),science,rejected,0.91,medium,Physics papers,3
SH_00152,CRISPR can cure genetic diseases in humans (context 15),science,undecided,0.581,hard,Clinical trials,2
SH_00153,Dark matter accounts for 27% of the universe (context 15),science,supported,0.681,expert,Astrophysics data,4
SH_00154,Vaccines cause autism (context 15),science,rejected,0.855,easy,Epidemiological studies,4
SH_00155,Exercise reduces risk of heart disease (context 15),science,supported,0.717,medium,Meta-analyses,3
SH_00156,GMOs are harmful to human health (context 15),science,rejected,0.729,hard,FDA studies,3
SH_00157,Meditation reduces cortisol levels (context 15),science,supported,0.65,expert,Clinical studies,4
SH_00158,Homeopathy is effective beyond placebo (context 15),science,rejected,0.562,easy,Cochrane reviews,4
SH_00159,Climate change is primarily human-caused (context 15),science,supported,0.551,medium,IPCC reports,3
SH_00160,Cold weather causes the common cold (context 15),science,rejected,0.641,hard,Virology research,1
SH_00161,Quantum entanglement enables faster-than-light communication (context 16),science,rejected,0.814,easy,Physics papers,4
SH_00162,CRISPR can cure genetic diseases in humans (context 16),science,undecided,0.824,medium,Clinical trials,1
SH_00163,Dark matter accounts for 27% of the universe (context 16),science,supported,0.694,hard,Astrophysics data,1
SH_00164,Vaccines cause autism (context 16),science,rejected,0.88,expert,Epidemiological studies,3
SH_00165,Exercise reduces risk of heart disease (context 16),science,supported,0.836,easy,Meta-analyses,2
SH_00166,GMOs are harmful to human health (context 16),science,rejected,0.693,medium,FDA studies,4
SH_00167,Meditation reduces cortisol levels (context 16),science,supported,0.717,hard,Clinical studies,1
SH_00168,Homeopathy is effective beyond placebo (context 16),science,rejected,0.936,expert,Cochrane reviews,2
SH_00169,Climate change is primarily human-caused (context 16),science,supported,0.57,easy,IPCC reports,3
SH_00170,Cold weather causes the common cold (context 16),science,rejected,0.872,medium,Virology research,2
SH_00171,Quantum entanglement enables faster-than-light communication (context 17),science,rejected,0.586,expert,Physics papers,3
SH_00172,CRISPR can cure genetic diseases in humans (context 17),science,undecided,0.74,easy,Clinical trials,1
SH_00173,Dark matter accounts for 27% of the universe (context 17),science,supported,0.719,medium,Astrophysics data,1
SH_00174,Vaccines cause autism (context 17),science,rejected,0.664,hard,Epidemiological studies,4
SH_00175,Exercise reduces risk of heart disease (context 17),science,supported,0.766,expert,Meta-analyses,1
SH_00176,GMOs are harmful to human health (context 17),science,rejected,0.761,easy,FDA studies,2
SH_00177,Meditation reduces cortisol levels (context 17),science,supported,0.558,medium,Clinical studies,4
SH_00178,Homeopathy is effective beyond placebo (context 17),science,rejected,0.615,hard,Cochrane reviews,3
SH_00179,Climate change is primarily human-caused (context 17),science,supported,0.932,expert,IPCC reports,1
SH_00180,Cold weather causes the common cold (context 17),science,rejected,0.822,easy,Virology research,3
SH_00181,Quantum entanglement enables faster-than-light communication (context 18),science,rejected,0.87,hard,Physics papers,1
SH_00182,CRISPR can cure genetic diseases in humans (context 18),science,undecided,0.579,expert,Clinical trials,4
SH_00183,Dark matter accounts for 27% of the universe (context 18),science,supported,0.685,easy,Astrophysics data,4
SH_00184,Vaccines cause autism (context 18),science,rejected,0.85,medium,Epidemiological studies,1
SH_00185,Exercise reduces risk of heart disease (context 18),science,supported,0.902,hard,Meta-analyses,1
SH_00186,GMOs are harmful to human health (context 18),science,rejected,0.726,expert,FDA studies,3
SH_00187,Meditation reduces cortisol levels (context 18),science,supported,0.892,easy,Clinical studies,1
SH_00188,Homeopathy is effective beyond placebo (context 18),science,rejected,0.586,medium,Cochrane reviews,2
SH_00189,Climate change is primarily human-caused (context 18),science,supported,0.95,hard,IPCC reports,4
SH_00190,Cold weather causes the common cold (context 18),science,rejected,0.705,expert,Virology research,3
SH_00191,Quantum entanglement enables faster-than-light communication (context 19),science,rejected,0.785,medium,Physics papers,3
SH_00192,CRISPR can cure genetic diseases in humans (context 19),science,undecided,0.748,hard,Clinical trials,3
SH_00193,Dark matter accounts for 27% of the universe (context 19),science,supported,0.678,expert,Astrophysics data,3
SH_00194,Vaccines cause autism (context 19),science,rejected,0.78,easy,Epidemiological studies,2
SH_00195,Exercise reduces risk of heart disease (context 19),science,supported,0.686,medium,Meta-analyses,4
SH_00196,GMOs are harmful to human health (context 19),science,rejected,0.725,hard,FDA studies,4
SH_00197,Meditation reduces cortisol levels (context 19),science,supported,0.694,expert,Clinical studies,3
SH_00198,Homeopathy is effective beyond placebo (context 19),science,rejected,0.908,easy,Cochrane reviews,2
SH_00199,Climate change is primarily human-caused (context 19),science,supported,0.777,medium,IPCC reports,2
SH_00200,Cold weather causes the common cold (context 19),science,rejected,0.667,hard,Virology research,1
SH_00201,Quantum entanglement enables faster-than-light communication (context 20),science,rejected,0.8,easy,Physics papers,4
SH_00202,CRISPR can cure genetic diseases in humans (context 20),science,undecided,0.902,medium,Clinical trials,3
SH_00203,Dark matter accounts for 27% of the universe (context 20),science,supported,0.934,hard,Astrophysics data,4
SH_00204,Vaccines cause autism (context 20),science,rejected,0.629,expert,Epidemiological studies,4
SH_00205,Exercise reduces risk of heart disease (context 20),science,supported,0.634,easy,Meta-analyses,2
SH_00206,GMOs are harmful to human health (context 20),science,rejected,0.591,medium,FDA studies,2
SH_00207,Meditation reduces cortisol levels (context 20),science,supported,0.862,hard,Clinical studies,1
SH_00208,Homeopathy is effective beyond placebo (context 20),science,rejected,0.727,expert,Cochrane reviews,1
SH_00209,Climate change is primarily human-caused (context 20),science,supported,0.765,easy,IPCC reports,3
SH_00210,Cold weather causes the common cold (context 20),science,rejected,0.876,medium,Virology research,2
SH_00211,Quantum entanglement enables faster-than-light communication (context 21),science,rejected,0.634,expert,Physics papers,4
SH_00212,CRISPR can cure genetic diseases in humans (context 21),science,undecided,0.677,easy,Clinical trials,1
SH_00213,Dark matter accounts for 27% of the universe (context 21),science,supported,0.773,medium,Astrophysics data,4
SH_00214,Vaccines cause autism (context 21),science,rejected,0.849,hard,Epidemiological studies,2
SH_00215,Exercise reduces risk of heart disease (context 21),science,supported,0.687,expert,Meta-analyses,2
SH_00216,GMOs are harmful to human health (context 21),science,rejected,0.685,easy,FDA studies,4
SH_00217,Meditation reduces cortisol levels (context 21),science,supported,0.809,medium,Clinical studies,4
SH_00218,Homeopathy is effective beyond placebo (context 21),science,rejected,0.942,hard,Cochrane reviews,4
SH_00219,Climate change is primarily human-caused (context 21),science,supported,0.554,expert,IPCC reports,4
SH_00220,Cold weather causes the common cold (context 21),science,rejected,0.822,easy,Virology research,1
SH_00221,Quantum entanglement enables faster-than-light communication (context 22),science,rejected,0.904,hard,Physics papers,1
SH_00222,CRISPR can cure genetic diseases in humans (context 22),science,undecided,0.557,expert,Clinical trials,3
SH_00223,Dark matter accounts for 27% of the universe (context 22),science,supported,0.943,easy,Astrophysics data,2
SH_00224,Vaccines cause autism (context 22),science,rejected,0.714,medium,Epidemiological studies,1
SH_00225,Exercise reduces risk of heart disease (context 22),science,supported,0.763,hard,Meta-analyses,2
SH_00226,GMOs are harmful to human health (context 22),science,rejected,0.941,expert,FDA studies,1
SH_00227,Meditation reduces cortisol levels (context 22),science,supported,0.945,easy,Clinical studies,1
SH_00228,Homeopathy is effective beyond placebo (context 22),science,rejected,0.724,medium,Cochrane reviews,4
SH_00229,Climate change is primarily human-caused (context 22),science,supported,0.87,hard,IPCC reports,2
SH_00230,Cold weather causes the common cold (context 22),science,rejected,0.578,expert,Virology research,3
SH_00231,Quantum entanglement enables faster-than-light communication (context 23),science,rejected,0.58,medium,Physics papers,4
SH_00232,CRISPR can cure genetic diseases in humans (context 23),science,undecided,0.778,hard,Clinical trials,1
SH_00233,Dark matter accounts for 27% of the universe (context 23),science,supported,0.695,expert,Astrophysics data,4
SH_00234,Vaccines cause autism (context 23),science,rejected,0.933,easy,Epidemiological studies,3
SH_00235,Exercise reduces risk of heart disease (context 23),science,supported,0.856,medium,Meta-analyses,1
SH_00236,GMOs are harmful to human health (context 23),science,rejected,0.873,hard,FDA studies,3
SH_00237,Meditation reduces cortisol levels (context 23),science,supported,0.822,expert,Clinical studies,2
SH_00238,Homeopathy is effective beyond placebo (context 23),science,rejected,0.903,easy,Cochrane reviews,4
SH_00239,Climate change is primarily human-caused (context 23),science,supported,0.59,medium,IPCC reports,1
SH_00240,Cold weather causes the common cold (context 23),science,rejected,0.569,hard,Virology research,1
SH_00241,Quantum entanglement enables faster-than-light communication (context 24),science,rejected,0.863,easy,Physics papers,2
SH_00242,CRISPR can cure genetic diseases in humans (context 24),science,undecided,0.751,medium,Clinical trials,3
SH_00243,Dark matter accounts for 27% of the universe (context 24),science,supported,0.651,hard,Astrophysics data,1
SH_00244,Vaccines cause autism (context 24),science,rejected,0.875,expert,Epidemiological studies,3
SH_00245,Exercise reduces risk of heart disease (context 24),science,supported,0.922,easy,Meta-analyses,3
SH_00246,GMOs are harmful to human health (context 24),science,rejected,0.703,medium,FDA studies,1
SH_00247,Meditation reduces cortisol levels (context 24),science,supported,0.704,hard,Clinical studies,3
SH_00248,Homeopathy is effective beyond placebo (context 24),science,rejected,0.642,expert,Cochrane reviews,1
SH_00249,Climate change is primarily human-caused (context 24),science,supported,0.927,easy,IPCC reports,4
SH_00250,Cold weather causes the common cold (context 24),science,rejected,0.714,medium,Virology research,2
SH_00251,Quantum entanglement enables faster-than-light communication (context 25),science,rejected,0.739,expert,Physics papers,1
SH_00252,CRISPR can cure genetic diseases in humans (context 25),science,undecided,0.867,easy,Clinical trials,4
SH_00253,Dark matter accounts for 27% of the universe (context 25),science,supported,0.595,medium,Astrophysics data,2
SH_00254,Vaccines cause autism (context 25),science,rejected,0.74,hard,Epidemiological studies,3
SH_00255,Exercise reduces risk of heart disease (context 25),science,supported,0.865,expert,Meta-analyses,4
SH_00256,GMOs are harmful to human health (context 25),science,rejected,0.563,easy,FDA studies,3
SH_00257,Meditation reduces cortisol levels (context 25),science,supported,0.633,medium,Clinical studies,3
SH_00258,Homeopathy is effective beyond placebo (context 25),science,rejected,0.736,hard,Cochrane reviews,2
SH_00259,Climate change is primarily human-caused (context 25),science,supported,0.845,expert,IPCC reports,2
SH_00260,Cold weather causes the common cold (context 25),science,rejected,0.626,easy,Virology research,3
SH_00261,Quantum entanglement enables faster-than-light communication (context 26),science,rejected,0.943,hard,Physics papers,3
SH_00262,CRISPR can cure genetic diseases in humans (context 26),science,undecided,0.594,expert,Clinical trials,2
SH_00263,Dark matter accounts for 27% of the universe (context 26),science,supported,0.604,easy,Astrophysics data,4
SH_00264,Vaccines cause autism (context 26),science,rejected,0.754,medium,Epidemiological studies,3
SH_00265,Exercise reduces risk of heart disease (context 26),science,supported,0.742,hard,Meta-analyses,3
SH_00266,GMOs are harmful to human health (context 26),science,rejected,0.673,expert,FDA studies,2
SH_00267,Meditation reduces cortisol levels (context 26),science,supported,0.754,easy,Clinical studies,2
SH_00268,Homeopathy is effective beyond placebo (context 26),science,rejected,0.666,medium,Cochrane reviews,4
SH_00269,Climate change is primarily human-caused (context 26),science,supported,0.552,hard,IPCC reports,1
SH_00270,Cold weather causes the common cold (context 26),science,rejected,0.77,expert,Virology research,3
SH_00271,Quantum entanglement enables faster-than-light communication (context 27),science,rejected,0.567,medium,Physics papers,1
SH_00272,CRISPR can cure genetic diseases in humans (context 27),science,undecided,0.839,hard,Clinical trials,3
SH_00273,Dark matter accounts for 27% of the universe (context 27),science,supported,0.588,expert,Astrophysics data,4
SH_00274,Vaccines cause autism (context 27),science,rejected,0.792,easy,Epidemiological studies,1
SH_00275,Exercise reduces risk of heart disease (context 27),science,supported,0.944,medium,Meta-analyses,2
SH_00276,GMOs are harmful to human health (context 27),science,rejected,0.67,hard,FDA studies,1
SH_00277,Meditation reduces cortisol levels (context 27),science,supported,0.879,expert,Clinical studies,4
SH_00278,Homeopathy is effective beyond placebo (context 27),science,rejected,0.792,easy,Cochrane reviews,3
SH_00279,Climate change is primarily human-caused (context 27),science,supported,0.818,medium,IPCC reports,1
SH_00280,Cold weather causes the common cold (context 27),science,rejected,0.632,hard,Virology research,4
SH_00281,Quantum entanglement enables faster-than-light communication (context 28),science,rejected,0.604,easy,Physics papers,3
SH_00282,CRISPR can cure genetic diseases in humans (context 28),science,undecided,0.833,medium,Clinical trials,4
SH_00283,Dark matter accounts for 27% of the universe (context 28),science,supported,0.914,hard,Astrophysics data,1
SH_00284,Vaccines cause autism (context 28),science,rejected,0.94,expert,Epidemiological studies,2
SH_00285,Exercise reduces risk of heart disease (context 28),science,supported,0.689,easy,Meta-analyses,3
SH_00286,GMOs are harmful to human health (context 28),science,rejected,0.762,medium,FDA studies,2
SH_00287,Meditation reduces cortisol levels (context 28),science,supported,0.641,hard,Clinical studies,1
SH_00288,Homeopathy is effective beyond placebo (context 28),science,rejected,0.856,expert,Cochrane reviews,1
SH_00289,Climate change is primarily human-caused (context 28),science,supported,0.887,easy,IPCC reports,2
SH_00290,Cold weather causes the common cold (context 28),science,rejected,0.576,medium,Virology research,4
SH_00291,Quantum entanglement enables faster-than-light communication (context 29),science,rejected,0.888,expert,Physics papers,1
SH_00292,CRISPR can cure genetic diseases in humans (context 29),science,undecided,0.95,easy,Clinical trials,1
SH_00293,Dark matter accounts for 27% of the universe (context 29),science,supported,0.787,medium,Astrophysics data,4
SH_00294,Vaccines cause autism (context 29),science,rejected,0.713,hard,Epidemiological studies,2
SH_00295,Exercise reduces risk of heart disease (context 29),science,supported,0.62,expert,Meta-analyses,4
SH_00296,GMOs are harmful to human health (context 29),science,rejected,0.785,easy,FDA studies,2
SH_00297,Meditation reduces cortisol levels (context 29),science,supported,0.642,medium,Clinical studies,1
SH_00298,Homeopathy is effective beyond placebo (context 29),science,rejected,0.778,hard,Cochrane reviews,3
SH_00299,Climate change is primarily human-caused (context 29),science,supported,0.877,expert,IPCC reports,3
SH_00300,Cold weather causes the common cold (context 29),science,rejected,0.921,easy,Virology research,2
