id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
TC_00066,Open source software is more secure (context 6),technology,undecided,0.611,expert,CVE analysis,3
TC_00067,Machine learning models are biased (context 6),technology,supported,0.807,easy,Fairness audits,1
TC_00068,Quantum computers will break encryption by 2030 (context 6),technology,undecided,0.802,medium,Expert forecasts,2
TC_00069,Electric vehicles are better for the environment (context 6),technology,supported,0.861,hard,Lifecycle analysis,1
TC_00070,NoSQL databases scale better than SQL (context 6),technology,undecided,0.715,expert,Architecture comparison,3
TC_00071,Python is faster than C++ (context 7),technology,rejected,0.756,medium,Benchmark data,3
TC_00072,Cloud computing is more secure than on-premises (context 7),technology,undecided,0.65,hard,Security audits,2
TC_00073,React outperforms Angular for large applications (context 7),technology,undecided,0.56,expert,Performance tests,1
TC_00074,SSDs are more reliable than HDDs (context 7),technology,supported,0.708,easy,Failure rate data,1
TC_00075,5G networks pose health risks (context 7),technology,rejected,0.844,medium,WHO/FCC studies,1
TC_00076,Open source software is more secure (context 7),technology,undecided,0.651,hard,CVE analysis,2
TC_00077,Machine learning models are biased (context 7),technology,supported,0.667,expert,Fairness audits,2
TC_00078,Quantum computers will break encryption by 2030 (context 7),technology,undecided,0.92,easy,Expert forecasts,4
TC_00079,Electric vehicles are better for the environment (context 7),technology,supported,0.774,medium,Lifecycle analysis,1
TC_00080,NoSQL databases scale better than SQL (context 7),technology,undecided,0.843,hard,Architecture comparison,3
TC_00081,Python is faster than C++ (context 8),technology,rejected,0.87,easy,Benchmark data,1
TC_00082,Cloud computing is more secure than on-premises (context 8),technology,undecided,0.681,medium,Security audits,1
TC_00083,React outperforms Angular for large applications (context 8),technology,undecided,0.88,hard,Performance tests,2
TC_00084,SSDs are more reliable than HDDs (context 8),technology,supported,0.65,expert,Failure rate data,3
TC_00085,5G networks pose health risks (context 8),technology,rejected,0.556,easy,WHO/FCC studies,1
TC_00086,Open source software is more secure (context 8),technology,undecided,0.833,medium,CVE analysis,1
TC_00087,Machine learning models are biased (context 8),technology,supported,0.663,hard,Fairness audits,4
TC_00088,Quantum computers will break encryption by 2030 (context 8),technology,undecided,0.913,expert,Expert forecasts,3
TC_00089,Electric vehicles are better for the environment (context 8),technology,supported,0.763,easy,Lifecycle analysis,4
TC_00090,NoSQL databases scale better than SQL (context 8),technology,undecided,0.853,medium,Architecture comparison,1
TC_00091,Python is faster than C++ (context 9),technology,rejected,0.798,expert,Benchmark data,2
TC_00092,Cloud computing is more secure than on-premises (context 9),technology,undecided,0.643,easy,Security audits,1
TC_00093,React outperforms Angular for large applications (context 9),technology,undecided,0.839,medium,Performance tests,1
TC_00094,SSDs are more reliable than HDDs (context 9),technology,supported,0.552,hard,Failure rate data,2
TC_00095,5G networks pose health risks (context 9),technology,rejected,0.942,expert,WHO/FCC studies,2
TC_00096,Open source software is more secure (context 9),technology,undecided,0.64,easy,CVE analysis,4
TC_00097,Machine learning models are biased (context 9),technology,supported,0.727,medium,Fairness audits,3
TC_00098,Quantum computers will break encryption by 2030 (context 9),technology,undecided,0.801,hard,Expert forecasts,4
TC_00099,Electric vehicles are better for the environment (context 9),technology,supported,0.733,expert,Lifecycle analysis,3
TC_00100,NoSQL databases scale better than SQL (context 9),technology,undecided,0.769,easy,Architecture comparison,1
TC_00101,Python is faster than C++ (context 10),technology,rejected,0.732,hard,Benchmark data,4
TC_00102,Cloud computing is more secure than on-premises (context 10),technology,undecided,0.766,expert,Security audits,2
TC_00103,React outperforms Angular for large applications (context 10),technology,undecided,0.839,easy,Performance tests,2
TC_00104,SSDs are more reliable than HDDs (context 10),technology,supported,0.594,medium,Failure rate data,1
TC_00105,5G networks pose health risks (context 10),technology,rejected,0.661,hard,WHO/FCC studies,3
TC_00106,Open source software is more secure (context 10),technology,undecided,0.886,expert,CVE analysis,4
TC_00107,Machine learning models are biased (context 10),technology,supported,0.625,easy,Fairness audits,3
TC_00108,Quantum computers will break encryption by 2030 (context 10),technology,undecided,0.835,medium,Expert forecasts,4
TC_00109,Electric vehicles are better for the environment (context 10),technology,supported,0.642,hard,Lifecycle analysis,3
TC_00110,NoSQL databases scale better than SQL (context 10),technology,undecided,0.706,expert,Architecture comparison,4
TC_00111,Python is faster than C++ (context 11),technology,rejected,0.577,medium,Benchmark data,3
TC_00112,Cloud computing is more secure than on-premises (context 11),technology,undecided,0.853,hard,Security audits,2
TC_00113,React outperforms Angular for large applications (context 11),technology,undecided,0.572,expert,Performance tests,3
TC_00114,SSDs are more reliable than HDDs (context 11),technology,supported,0.875,easy,Failure rate data,3
TC_00115,5G networks pose health risks (context 11),technology,rejected,0.647,medium,WHO/FCC studies,4
TC_00116,Open source software is more secure (context 11),technology,undecided,0.825,hard,CVE analysis,3
TC_00117,Machine learning models are biased (context 11),technology,supported,0.819,expert,Fairness audits,3
TC_00118,Quantum computers will break encryption by 2030 (context 11),technology,undecided,0.59,easy,Expert forecasts,4
TC_00119,Electric vehicles are better for the environment (context 11),technology,supported,0.907,medium,Lifecycle analysis,2
TC_00120,NoSQL databases scale better than SQL (context 11),technology,undecided,0.682,hard,Architecture comparison,4
TC_00121,Python is faster than C++ (context 12),technology,rejected,0.772,easy,Benchmark data,3
TC_00122,Cloud computing is more secure than on-premises (context 12),technology,undecided,0.568,medium,Security audits,2
TC_00123,React outperforms Angular for large applications (context 12),technology,undecided,0.641,hard,Performance tests,2
TC_00124,SSDs are more reliable than HDDs (context 12),technology,supported,0.837,expert,Failure rate data,3
TC_00125,5G networks pose health risks (context 12),technology,rejected,0.912,easy,WHO/FCC studies,4
TC_00126,Open source software is more secure (context 12),technology,undecided,0.904,medium,CVE analysis,1
TC_00127,Machine learning models are biased (context 12),technology,supported,0.924,hard,Fairness audits,1
TC_00128,Quantum computers will break encryption by 2030 (context 12),technology,undecided,0.555,expert,Expert forecasts,4
TC_00129,Electric vehicles are better for the environment (context 12),technology,supported,0.559,easy,Lifecycle analysis,2
TC_00130,NoSQL databases scale better than SQL (context 12),technology,undecided,0.732,medium,Architecture comparison,1
TC_00131,Python is faster than C++ (context 13),technology,rejected,0.835,expert,Benchmark data,2
TC_00132,Cloud computing is more secure than on-premises (context 13),technology,undecided,0.606,easy,Security audits,3
TC_00133,React outperforms Angular for large applications (context 13),technology,undecided,0.92,medium,Performance tests,1
TC_00134,SSDs are more reliable than HDDs (context 13),technology,supported,0.766,hard,Failure rate data,3
TC_00135,5G networks pose health risks (context 13),technology,rejected,0.845,expert,WHO/FCC studies,4
TC_00136,Open source software is more secure (context 13),technology,undecided,0.844,easy,CVE analysis,1
TC_00137,Machine learning models are biased (context 13),technology,supported,0.751,medium,Fairness audits,2
TC_00138,Quantum computers will break encryption by 2030 (context 13),technology,undecided,0.748,hard,Expert forecasts,1
TC_00139,Electric vehicles are better for the environment (context 13),technology,supported,0.751,expert,Lifecycle analysis,4
TC_00140,NoSQL databases scale better than SQL (context 13),technology,undecided,0.593,easy,Architecture comparison,3
TC_00141,Python is faster than C++ (context 14),technology,rejected,0.817,hard,Benchmark data,2
TC_00142,Cloud computing is more secure than on-premises (context 14),technology,undecided,0.906,expert,Security audits,4
TC_00143,React outperforms Angular for large applications (context 14),technology,undecided,0.915,easy,Performance tests,1
TC_00144,SSDs are more reliable than HDDs (context 14),technology,supported,0.709,medium,Failure rate data,4
TC_00145,5G networks pose health risks (context 14),technology,rejected,0.876,hard,WHO/FCC studies,4
TC_00146,Open source software is more secure (context 14),technology,undecided,0.835,expert,CVE analysis,3
TC_00147,Machine learning models are biased (context 14),technology,supported,0.916,easy,Fairness audits,2
TC_00148,Quantum computers will break encryption by 2030 (context 14),technology,undecided,0.943,medium,Expert forecasts,4
TC_00149,Electric vehicles are better for the environment (context 14),technology,supported,0.898,hard,Lifecycle analysis,3
TC_00150,NoSQL databases scale better than SQL (context 14),technology,undecided,0.818,expert,Architecture comparison,3
TC_00151,Python is faster than C++ (context 15),technology,rejected,0.943,medium,Benchmark data,1
TC_00152,Cloud computing is more secure than on-premises (context 15),technology,undecided,0.91,hard,Security audits,3
TC_00153,React outperforms Angular for large applications (context 15),technology,undecided,0.848,expert,Performance tests,3
TC_00154,SSDs are more reliable than HDDs (context 15),technology,supported,0.692,easy,Failure rate data,1
TC_00155,5G networks pose health risks (context 15),technology,rejected,0.615,medium,WHO/FCC studies,4
TC_00156,Open source software is more secure (context 15),technology,undecided,0.646,hard,CVE analysis,4
TC_00157,Machine learning models are biased (context 15),technology,supported,0.713,expert,Fairness audits,1
TC_00158,Quantum computers will break encryption by 2030 (context 15),technology,undecided,0.767,easy,Expert forecasts,3
TC_00159,Electric vehicles are better for the environment (context 15),technology,supported,0.556,medium,Lifecycle analysis,3
TC_00160,NoSQL databases scale better than SQL (context 15),technology,undecided,0.916,hard,Architecture comparison,2
TC_00161,Python is faster than C++ (context 16),technology,rejected,0.814,easy,Benchmark data,2
TC_00162,Cloud computing is more secure than on-premises (context 16),technology,undecided,0.817,medium,Security audits,2
TC_00163,React outperforms Angular for large applications (context 16),technology,undecided,0.596,hard,Performance tests,1
TC_00164,SSDs are more reliable than HDDs (context 16),technology,supported,0.62,expert,Failure rate data,3
TC_00165,5G networks pose health risks (context 16),technology,rejected,0.565,easy,WHO/FCC studies,1
TC_00166,Open source software is more secure (context 16),technology,undecided,0.83,medium,CVE analysis,4
TC_00167,Machine learning models are biased (context 16),technology,supported,0.765,hard,Fairness audits,3
TC_00168,Quantum computers will break encryption by 2030 (context 16),technology,undecided,0.813,expert,Expert forecasts,1
TC_00169,Electric vehicles are better for the environment (context 16),technology,supported,0.93,easy,Lifecycle analysis,3
TC_00170,NoSQL databases scale better than SQL (context 16),technology,undecided,0.802,medium,Architecture comparison,3
TC_00171,Python is faster than C++ (context 17),technology,rejected,0.943,expert,Benchmark data,4
TC_00172,Cloud computing is more secure than on-premises (context 17),technology,undecided,0.857,easy,Security audits,1
TC_00173,React outperforms Angular for large applications (context 17),technology,undecided,0.672,medium,Performance tests,3
TC_00174,SSDs are more reliable than HDDs (context 17),technology,supported,0.732,hard,Failure rate data,1
TC_00175,5G networks pose health risks (context 17),technology,rejected,0.849,expert,WHO/FCC studies,1
TC_00176,Open source software is more secure (context 17),technology,undecided,0.789,easy,CVE analysis,1
TC_00177,Machine learning models are biased (context 17),technology,supported,0.567,medium,Fairness audits,4
TC_00178,Quantum computers will break encryption by 2030 (context 17),technology,undecided,0.724,hard,Expert forecasts,4
TC_00179,Electric vehicles are better for the environment (context 17),technology,supported,0.645,expert,Lifecycle analysis,4
TC_00180,NoSQL databases scale better than SQL (context 17),technology,undecided,0.935,easy,Architecture comparison,3
TC_00181,Python is faster than C++ (context 18),technology,rejected,0.676,hard,Benchmark data,3
TC_00182,Cloud computing is more secure than on-premises (context 18),technology,undecided,0.633,expert,Security audits,2
TC_00183,React outperforms Angular for large applications (context 18),technology,undecided,0.885,easy,Performance tests,1
TC_00184,SSDs are more reliable than HDDs (context 18),technology,supported,0.723,medium,Failure rate data,3
TC_00185,5G networks pose health risks (context 18),technology,rejected,0.881,hard,WHO/FCC studies,3
TC_00186,Open source software is more secure (context 18),technology,undecided,0.554,expert,CVE analysis,3
TC_00187,Machine learning models are biased (context 18),technology,supported,0.566,easy,Fairness audits,3
TC_00188,Quantum computers will break encryption by 2030 (context 18),technology,undecided,0.716,medium,Expert forecasts,2
TC_00189,Electric vehicles are better for the environment (context 18),technology,supported,0.83,hard,Lifecycle analysis,3
TC_00190,NoSQL databases scale better than SQL (context 18),technology,undecided,0.573,expert,Architecture comparison,2
TC_00191,Python is faster than C++ (context 19),technology,rejected,0.805,medium,Benchmark data,3
TC_00192,Cloud computing is more secure than on-premises (context 19),technology,undecided,0.691,hard,Security audits,2
TC_00193,React outperforms Angular for large applications (context 19),technology,undecided,0.824,expert,Performance tests,1
TC_00194,SSDs are more reliable than HDDs (context 19),technology,supported,0.605,easy,Failure rate data,4
TC_00195,5G networks pose health risks (context 19),technology,rejected,0.606,medium,WHO/FCC studies,2
TC_00196,Open source software is more secure (context 19),technology,undecided,0.871,hard,CVE analysis,4
TC_00197,Machine learning models are biased (context 19),technology,supported,0.852,expert,Fairness audits,4
TC_00198,Quantum computers will break encryption by 2030 (context 19),technology,undecided,0.637,easy,Expert forecasts,3
TC_00199,Electric vehicles are better for the environment (context 19),technology,supported,0.608,medium,Lifecycle analysis,2
TC_00200,NoSQL databases scale better than SQL (context 19),technology,undecided,0.864,hard,Architecture comparison,4
TC_00201,Python is faster than C++ (context 20),technology,rejected,0.742,easy,Benchmark data,4
TC_00202,Cloud computing is more secure than on-premises (context 20),technology,undecided,0.649,medium,Security audits,2
TC_00203,React outperforms Angular for large applications (context 20),technology,undecided,0.908,hard,Performance tests,2
TC_00204,SSDs are more reliable than HDDs (context 20),technology,supported,0.885,expert,Failure rate data,2
TC_00205,5G networks pose health risks (context 20),technology,rejected,0.813,easy,WHO/FCC studies,1
TC_00206,Open source software is more secure (context 20),technology,undecided,0.912,medium,CVE analysis,1
TC_00207,Machine learning models are biased (context 20),technology,supported,0.705,hard,Fairness audits,1
TC_00208,Quantum computers will break encryption by 2030 (context 20),technology,undecided,0.656,expert,Expert forecasts,1
TC_00209,Electric vehicles are better for the environment (context 20),technology,supported,0.766,easy,Lifecycle analysis,2
TC_00210,NoSQL databases scale better than SQL (context 20),technology,undecided,0.809,medium,Architecture comparison,3
TC_00211,Python is faster than C++ (context 21),technology,rejected,0.826,expert,Benchmark data,2
TC_00212,Cloud computing is more secure than on-premises (context 21),technology,undecided,0.759,easy,Security audits,2
TC_00213,React outperforms Angular for large applications (context 21),technology,undecided,0.802,medium,Performance tests,3
TC_00214,SSDs are more reliable than HDDs (context 21),technology,supported,0.669,hard,Failure rate data,1
TC_00215,5G networks pose health risks (context 21),technology,rejected,0.676,expert,WHO/FCC studies,3
TC_00216,Open source software is more secure (context 21),technology,undecided,0.932,easy,CVE analysis,3
TC_00217,Machine learning models are biased (context 21),technology,supported,0.798,medium,Fairness audits,4
TC_00218,Quantum computers will break encryption by 2030 (context 21),technology,undecided,0.857,hard,Expert forecasts,2
TC_00219,Electric vehicles are better for the environment (context 21),technology,supported,0.581,expert,Lifecycle analysis,1
TC_00220,NoSQL databases scale better than SQL (context 21),technology,undecided,0.58,easy,Architecture comparison,2
TC_00221,Python is faster than C++ (context 22),technology,rejected,0.884,hard,Benchmark data,4
TC_00222,Cloud computing is more secure than on-premises (context 22),technology,undecided,0.636,expert,Security audits,2
TC_00223,React outperforms Angular for large applications (context 22),technology,undecided,0.939,easy,Performance tests,1
TC_00224,SSDs are more reliable than HDDs (context 22),technology,supported,0.705,medium,Failure rate data,3
TC_00225,5G networks pose health risks (context 22),technology,rejected,0.923,hard,WHO/FCC studies,3
TC_00226,Open source software is more secure (context 22),technology,undecided,0.562,expert,CVE analysis,4
TC_00227,Machine learning models are biased (context 22),technology,supported,0.647,easy,Fairness audits,4
TC_00228,Quantum computers will break encryption by 2030 (context 22),technology,undecided,0.562,medium,Expert forecasts,4
TC_00229,Electric vehicles are better for the environment (context 22),technology,supported,0.872,hard,Lifecycle analysis,2
TC_00230,NoSQL databases scale better than SQL (context 22),technology,undecided,0.914,expert,Architecture comparison,4
TC_00231,Python is faster than C++ (context 23),technology,rejected,0.642,medium,Benchmark data,1
TC_00232,Cloud computing is more secure than on-premises (context 23),technology,undecided,0.669,hard,Security audits,1
TC_00233,React outperforms Angular for large applications (context 23),technology,undecided,0.754,expert,Performance tests,1
TC_00234,SSDs are more reliable than HDDs (context 23),technology,supported,0.905,easy,Failure rate data,4
TC_00235,5G networks pose health risks (context 23),technology,rejected,0.817,medium,WHO/FCC studies,3
TC_00236,Open source software is more secure (context 23),technology,undecided,0.624,hard,CVE analysis,4
TC_00237,Machine learning models are biased (context 23),technology,supported,0.679,expert,Fairness audits,1
TC_00238,Quantum computers will break encryption by 2030 (context 23),technology,undecided,0.715,easy,Expert forecasts,1
TC_00239,Electric vehicles are better for the environment (context 23),technology,supported,0.89,medium,Lifecycle analysis,4
TC_00240,NoSQL databases scale better than SQL (context 23),technology,undecided,0.905,hard,Architecture comparison,4
TC_00241,Python is faster than C++ (context 24),technology,rejected,0.863,easy,Benchmark data,3
TC_00242,Cloud computing is more secure than on-premises (context 24),technology,undecided,0.923,medium,Security audits,2
TC_00243,React outperforms Angular for large applications (context 24),technology,undecided,0.624,hard,Performance tests,2
TC_00244,SSDs are more reliable than HDDs (context 24),technology,supported,0.676,expert,Failure rate data,3
TC_00245,5G networks pose health risks (context 24),technology,rejected,0.911,easy,WHO/FCC studies,3
TC_00246,Open source software is more secure (context 24),technology,undecided,0.626,medium,CVE analysis,2
TC_00247,Machine learning models are biased (context 24),technology,supported,0.848,hard,Fairness audits,1
TC_00248,Quantum computers will break encryption by 2030 (context 24),technology,undecided,0.717,expert,Expert forecasts,3
TC_00249,Electric vehicles are better for the environment (context 24),technology,supported,0.771,easy,Lifecycle analysis,2
TC_00250,NoSQL databases scale better than SQL (context 24),technology,undecided,0.803,medium,Architecture comparison,3
TC_00251,Python is faster than C++ (context 25),technology,rejected,0.781,expert,Benchmark data,3
TC_00252,Cloud computing is more secure than on-premises (context 25),technology,undecided,0.632,easy,Security audits,2
TC_00253,React outperforms Angular for large applications (context 25),technology,undecided,0.812,medium,Performance tests,1
TC_00254,SSDs are more reliable than HDDs (context 25),technology,supported,0.774,hard,Failure rate data,2
TC_00255,5G networks pose health risks (context 25),technology,rejected,0.702,expert,WHO/FCC studies,4
TC_00256,Open source software is more secure (context 25),technology,undecided,0.6,easy,CVE analysis,2
TC_00257,Machine learning models are biased (context 25),technology,supported,0.668,medium,Fairness audits,3
TC_00258,Quantum computers will break encryption by 2030 (context 25),technology,undecided,0.87,hard,Expert forecasts,4
TC_00259,Electric vehicles are better for the environment (context 25),technology,supported,0.612,expert,Lifecycle analysis,3
TC_00260,NoSQL databases scale better than SQL (context 25),technology,undecided,0.595,easy,Architecture comparison,1
TC_00261,Python is faster than C++ (context 26),technology,rejected,0.744,hard,Benchmark data,1
TC_00262,Cloud computing is more secure than on-premises (context 26),technology,undecided,0.638,expert,Security audits,2
TC_00263,React outperforms Angular for large applications (context 26),technology,undecided,0.695,easy,Performance tests,4
TC_00264,SSDs are more reliable than HDDs (context 26),technology,supported,0.889,medium,Failure rate data,3
TC_00265,5G networks pose health risks (context 26),technology,rejected,0.839,hard,WHO/FCC studies,4
TC_00266,Open source software is more secure (context 26),technology,undecided,0.879,expert,CVE analysis,1
TC_00267,Machine learning models are biased (context 26),technology,supported,0.631,easy,Fairness audits,4
TC_00268,Quantum computers will break encryption by 2030 (context 26),technology,undecided,0.856,medium,Expert forecasts,4
TC_00269,Electric vehicles are better for the environment (context 26),technology,supported,0.857,hard,Lifecycle analysis,3
TC_00270,NoSQL databases scale better than SQL (context 26),technology,undecided,0.775,expert,Architecture comparison,1
TC_00271,Python is faster than C++ (context 27),technology,rejected,0.731,medium,Benchmark data,1
TC_00272,Cloud computing is more secure than on-premises (context 27),technology,undecided,0.735,hard,Security audits,4
TC_00273,React outperforms Angular for large applications (context 27),technology,undecided,0.574,expert,Performance tests,2
TC_00274,SSDs are more reliable than HDDs (context 27),technology,supported,0.803,easy,Failure rate data,4
TC_00275,5G networks pose health risks (context 27),technology,rejected,0.655,medium,WHO/FCC studies,3
TC_00276,Open source software is more secure (context 27),technology,undecided,0.622,hard,CVE analysis,3
TC_00277,Machine learning models are biased (context 27),technology,supported,0.696,expert,Fairness audits,1
TC_00278,Quantum computers will break encryption by 2030 (context 27),technology,undecided,0.569,easy,Expert forecasts,4
TC_00279,Electric vehicles are better for the environment (context 27),technology,supported,0.93,medium,Lifecycle analysis,3
TC_00280,NoSQL databases scale better than SQL (context 27),technology,undecided,0.831,hard,Architecture comparison,4
TC_00281,Python is faster than C++ (context 28),technology,rejected,0.551,easy,Benchmark data,2
TC_00282,Cloud computing is more secure than on-premises (context 28),technology,undecided,0.75,medium,Security audits,2
TC_00283,React outperforms Angular for large applications (context 28),technology,undecided,0.786,hard,Performance tests,4
TC_00284,SSDs are more reliable than HDDs (context 28),technology,supported,0.579,expert,Failure rate data,3
TC_00285,5G networks pose health risks (context 28),technology,rejected,0.701,easy,WHO/FCC studies,3
TC_00286,Open source software is more secure (context 28),technology,undecided,0.921,medium,CVE analysis,1
TC_00287,Machine learning models are biased (context 28),technology,supported,0.557,hard,Fairness audits,1
TC_00288,Quantum computers will break encryption by 2030 (context 28),technology,undecided,0.75,expert,Expert forecasts,1
TC_00289,Electric vehicles are better for the environment (context 28),technology,supported,0.774,easy,Lifecycle analysis,1
TC_00290,NoSQL databases scale better than SQL (context 28),technology,undecided,0.912,medium,Architecture comparison,4
TC_00291,Python is faster than C++ (context 29),technology,rejected,0.651,expert,Benchmark data,2
TC_00292,Cloud computing is more secure than on-premises (context 29),technology,undecided,0.617,easy,Security audits,2
TC_00293,React outperforms Angular for large applications (context 29),technology,undecided,0.914,medium,Performance tests,1
TC_00294,SSDs are more reliable than HDDs (context 29),technology,supported,0.905,hard,Failure rate data,3
TC_00295,5G networks pose health risks (context 29),technology,rejected,0.823,expert,WHO/FCC studies,2
TC_00296,Open source software is more secure (context 29),technology,undecided,0.788,easy,CVE analysis,1
TC_00297,Machine learning models are biased (context 29),technology,supported,0.714,medium,Fairness audits,3
TC_00298,Quantum computers will break encryption by 2030 (context 29),technology,undecided,0.884,hard,Expert forecasts,1
TC_00299,Electric vehicles are better for the environment (context 29),technology,supported,0.684,expert,Lifecycle analysis,4
TC_00300,NoSQL databases scale better than SQL (context 29),technology,undecided,0.818,easy,Architecture comparison,2
TC_00301,Python is faster than C++ (context 30),technology,rejected,0.579,hard,Benchmark data,1
TC_00302,Cloud computing is more secure than on-premises (context 30),technology,undecided,0.923,expert,Security audits,1
TC_00303,React outperforms Angular for large applications (context 30),technology,undecided,0.581,easy,Performance tests,3
