id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
PI_00049,War on drugs has reduced drug use (context 4),policy,rejected,0.927,easy,Prevalence data,1
PI_00050,Affirmative action improves diversity (context 4),policy,supported,0.678,medium,University data,2
PI_00051,Minimum wage increases lead to job losses (context 5),policy,undecided,0.897,expert,Labor economics,3
PI_00052,Universal basic income reduces poverty (context 5),policy,undecided,0.641,easy,Pilot studies,3
PI_00053,Carbon taxes effectively reduce emissions (context 5),policy,supported,0.6,medium,European data,3
PI_00054,Strict gun laws reduce gun violence (context 5),policy,supported,0.759,hard,Comparative studies,2
PI_00055,Free trade benefits all parties equally (context 5),policy,rejected,0.824,expert,Trade deficit data,2
PI_00056,Immigration boosts economic growth (context 5),policy,supported,0.82,easy,GDP analysis,2
PI_00057,Rent control reduces housing supply (context 5),policy,supported,0.611,medium,Housing market data,4
PI_00058,Higher education subsidies increase enrollment (context 5),policy,supported,0.761,hard,Enrollment data,1
PI_00059,War on drugs has reduced drug use (context 5),policy,rejected,0.874,expert,Prevalence data,3
PI_00060,Affirmative action improves diversity (context 5),policy,supported,0.924,easy,University data,2
PI_00061,Minimum wage increases lead to job losses (context 6),policy,undecided,0.609,hard,Labor economics,3
PI_00062,Universal basic income reduces poverty (context 6),policy,undecided,0.798,expert,Pilot studies,1
PI_00063,Carbon taxes effectively reduce emissions (context 6),policy,supported,0.585,easy,European data,2
PI_00064,Strict gun laws reduce gun violence (context 6),policy,supported,0.909,medium,Comparative studies,2
PI_00065,Free trade benefits all parties equally (context 6),policy,rejected,0.634,hard,Trade deficit data,2
PI_00066,Immigration boosts economic growth (context 6),policy,supported,0.866,expert,GDP analysis,1
PI_00067,Rent control reduces housing supply (context 6),policy,supported,0.836,easy,Housing market data,4
PI_00068,Higher education subsidies increase enrollment (context 6),policy,supported,0.598,medium,Enrollment data,1
PI_00069,War on drugs has reduced drug use (context 6),policy,rejected,0.588,hard,Prevalence data,2
PI_00070,Affirmative action improves diversity (context 6),policy,supported,0.715,expert,University data,1
PI_00071,Minimum wage increases lead to job losses (context 7),policy,undecided,0.58,medium,Labor economics,4
PI_00072,Universal basic income reduces poverty (context 7),policy,undecided,0.78,hard,Pilot studies,4
PI_00073,Carbon taxes effectively reduce emissions (context 7),policy,supported,0.914,expert,European data,1
PI_00074,Strict gun laws reduce gun violence (context 7),policy,supported,0.91,easy,Comparative studies,1
PI_00075,Free trade benefits all parties equally (context 7),policy,rejected,0.786,medium,Trade deficit data,4
PI_00076,Immigration boosts economic growth (context 7),policy,supported,0.621,hard,GDP analysis,1
PI_00077,Rent control reduces housing supply (context 7),policy,supported,0.711,expert,Housing market data,4
PI_00078,Higher education subsidies increase enrollment (context 7),policy,supported,0.882,easy,Enrollment data,1
PI_00079,War on drugs has reduced drug use (context 7),policy,rejected,0.947,medium,Prevalence data,3
PI_00080,Affirmative action improves diversity (context 7),policy,supported,0.565,hard,University data,3
PI_00081,Minimum wage increases lead to job losses (context 8),policy,undecided,0.816,easy,Labor economics,4
PI_00082,Universal basic income reduces poverty (context 8),policy,undecided,0.728,medium,Pilot studies,3
PI_00083,Carbon taxes effectively reduce emissions (context 8),policy,supported,0.639,hard,European data,2
PI_00084,Strict gun laws reduce gun violence (context 8),policy,supported,0.899,expert,Comparative studies,4
PI_00085,Free trade benefits all parties equally (context 8),policy,rejected,0.847,easy,Trade deficit data,1
PI_00086,Immigration boosts economic growth (context 8),policy,supported,0.678,medium,GDP analysis,4
PI_00087,Rent control reduces housing supply (context 8),policy,supported,0.652,hard,Housing market data,1
PI_00088,Higher education subsidies increase enrollment (context 8),policy,supported,0.766,expert,Enrollment data,4
PI_00089,War on drugs has reduced drug use (context 8),policy,rejected,0.644,easy,Prevalence data,2
PI_00090,Affirmative action improves diversity (context 8),policy,supported,0.626,medium,University data,1
PI_00091,Minimum wage increases lead to job losses (context 9),policy,undecided,0.682,expert,Labor economics,4
PI_00092,Universal basic income reduces poverty (context 9),policy,undecided,0.614,easy,Pilot studies,2
PI_00093,Carbon taxes effectively reduce emissions (context 9),policy,supported,0.608,medium,European data,4
PI_00094,Strict gun laws reduce gun violence (context 9),policy,supported,0.556,hard,Comparative studies,3
PI_00095,Free trade benefits all parties equally (context 9),policy,rejected,0.708,expert,Trade deficit data,3
PI_00096,Immigration boosts economic growth (context 9),policy,supported,0.855,easy,GDP analysis,4
PI_00097,Rent control reduces housing supply (context 9),policy,supported,0.901,medium,Housing market data,1
PI_00098,Higher education subsidies increase enrollment (context 9),policy,supported,0.722,hard,Enrollment data,4
PI_00099,War on drugs has reduced drug use (context 9),policy,rejected,0.877,expert,Prevalence data,2
PI_00100,Affirmative action improves diversity (context 9),policy,supported,0.843,easy,University data,2
PI_00101,Minimum wage increases lead to job losses (context 10),policy,undecided,0.791,hard,Labor economics,1
PI_00102,Universal basic income reduces poverty (context 10),policy,undecided,0.628,expert,Pilot studies,3
PI_00103,Carbon taxes effectively reduce emissions (context 10),policy,supported,0.926,easy,European data,3
PI_00104,Strict gun laws reduce gun violence (context 10),policy,supported,0.919,medium,Comparative studies,4
PI_00105,Free trade benefits all parties equally (context 10),policy,rejected,0.839,hard,Trade deficit data,4
PI_00106,Immigration boosts economic growth (context 10),policy,supported,0.777,expert,GDP analysis,2
PI_00107,Rent control reduces housing supply (context 10),policy,supported,0.647,easy,Housing market data,3
PI_00108,Higher education subsidies increase enrollment (context 10),policy,supported,0.594,medium,Enrollment data,1
PI_00109,War on drugs has reduced drug use (context 10),policy,rejected,0.793,hard,Prevalence data,1
PI_00110,Affirmative action improves diversity (context 10),policy,supported,0.761,expert,University data,2
PI_00111,Minimum wage increases lead to job losses (context 11),policy,undecided,0.914,medium,Labor economics,4
PI_00112,Universal basic income reduces poverty (context 11),policy,undecided,0.85,hard,Pilot studies,2
PI_00113,Carbon taxes effectively reduce emissions (context 11),policy,supported,0.606,expert,European data,1
PI_00114,Strict gun laws reduce gun violence (context 11),policy,supported,0.582,easy,Comparative studies,3
PI_00115,Free trade benefits all parties equally (context 11),policy,rejected,0.688,medium,Trade deficit data,3
PI_00116,Immigration boosts economic growth (context 11),policy,supported,0.743,hard,GDP analysis,2
PI_00117,Rent control reduces housing supply (context 11),policy,supported,0.645,expert,Housing market data,3
PI_00118,Higher education subsidies increase enrollment (context 11),policy,supported,0.949,easy,Enrollment data,4
PI_00119,War on drugs has reduced drug use (context 11),policy,rejected,0.603,medium,Prevalence data,4
PI_00120,Affirmative action improves diversity (context 11),policy,supported,0.784,hard,University data,2
PI_00121,Minimum wage increases lead to job losses (context 12),policy,undecided,0.664,easy,Labor economics,4
PI_00122,Universal basic income reduces poverty (context 12),policy,undecided,0.699,medium,Pilot studies,1
PI_00123,Carbon taxes effectively reduce emissions (context 12),policy,supported,0.804,hard,European data,4
PI_00124,Strict gun laws reduce gun violence (context 12),policy,supported,0.901,expert,Comparative studies,4
PI_00125,Free trade benefits all parties equally (context 12),policy,rejected,0.663,easy,Trade deficit data,3
PI_00126,Immigration boosts economic growth (context 12),policy,supported,0.878,medium,GDP analysis,1
PI_00127,Rent control reduces housing supply (context 12),policy,supported,0.851,hard,Housing market data,1
PI_00128,Higher education subsidies increase enrollment (context 12),policy,supported,0.719,expert,Enrollment data,2
PI_00129,War on drugs has reduced drug use (context 12),policy,rejected,0.676,easy,Prevalence data,2
PI_00130,Affirmative action improves diversity (context 12),policy,supported,0.755,medium,University data,3
PI_00131,Minimum wage increases lead to job losses (context 13),policy,undecided,0.723,expert,Labor economics,3
PI_00132,Universal basic income reduces poverty (context 13),policy,undecided,0.777,easy,Pilot studies,3
PI_00133,Carbon taxes effectively reduce emissions (context 13),policy,supported,0.773,medium,European data,1
PI_00134,Strict gun laws reduce gun violence (context 13),policy,supported,0.647,hard,Comparative studies,1
PI_00135,Free trade benefits all parties equally (context 13),policy,rejected,0.912,expert,Trade deficit data,3
PI_00136,Immigration boosts economic growth (context 13),policy,supported,0.597,easy,GDP analysis,3
PI_00137,Rent control reduces housing supply (context 13),policy,supported,0.755,medium,Housing market data,2
PI_00138,Higher education subsidies increase enrollment (context 13),policy,supported,0.943,hard,Enrollment data,4
PI_00139,War on drugs has reduced drug use (context 13),policy,rejected,0.649,expert,Prevalence data,1
PI_00140,Affirmative action improves diversity (context 13),policy,supported,0.821,easy,University data,1
PI_00141,Minimum wage increases lead to job losses (context 14),policy,undecided,0.913,hard,Labor economics,1
PI_00142,Universal basic income reduces poverty (context 14),policy,undecided,0.586,expert,Pilot studies,1
PI_00143,Carbon taxes effectively reduce emissions (context 14),policy,supported,0.587,easy,European data,3
PI_00144,Strict gun laws reduce gun violence (context 14),policy,supported,0.895,medium,Comparative studies,3
PI_00145,Free trade benefits all parties equally (context 14),policy,rejected,0.625,hard,Trade deficit data,1
PI_00146,Immigration boosts economic growth (context 14),policy,supported,0.613,expert,GDP analysis,4
PI_00147,Rent control reduces housing supply (context 14),policy,supported,0.741,easy,Housing market data,1
PI_00148,Higher education subsidies increase enrollment (context 14),policy,supported,0.601,medium,Enrollment data,4
PI_00149,War on drugs has reduced drug use (context 14),policy,rejected,0.906,hard,Prevalence data,4
PI_00150,Affirmative action improves diversity (context 14),policy,supported,0.781,expert,University data,1
PI_00151,Minimum wage increases lead to job losses (context 15),policy,undecided,0.755,medium,Labor economics,4
PI_00152,Universal basic income reduces poverty (context 15),policy,undecided,0.741,hard,Pilot studies,3
PI_00153,Carbon taxes effectively reduce emissions (context 15),policy,supported,0.785,expert,European data,4
PI_00154,Strict gun laws reduce gun violence (context 15),policy,supported,0.584,easy,Comparative studies,3
PI_00155,Free trade benefits all parties equally (context 15),policy,rejected,0.861,medium,Trade deficit data,4
PI_00156,Immigration boosts economic growth (context 15),policy,supported,0.841,hard,GDP analysis,3
PI_00157,Rent control reduces housing supply (context 15),policy,supported,0.857,expert,Housing market data,4
PI_00158,Higher education subsidies increase enrollment (context 15),policy,supported,0.925,easy,Enrollment data,3
PI_00159,War on drugs has reduced drug use (context 15),policy,rejected,0.737,medium,Prevalence data,4
PI_00160,Affirmative action improves diversity (context 15),policy,supported,0.666,hard,University data,3
PI_00161,Minimum wage increases lead to job losses (context 16),policy,undecided,0.601,easy,Labor economics,3
PI_00162,Universal basic income reduces poverty (context 16),policy,undecided,0.806,medium,Pilot studies,2
PI_00163,Carbon taxes effectively reduce emissions (context 16),policy,supported,0.623,hard,European data,4
PI_00164,Strict gun laws reduce gun violence (context 16),policy,supported,0.791,expert,Comparative studies,2
PI_00165,Free trade benefits all parties equally (context 16),policy,rejected,0.747,easy,Trade deficit data,3
PI_00166,Immigration boosts economic growth (context 16),policy,supported,0.826,medium,GDP analysis,4
PI_00167,Rent control reduces housing supply (context 16),policy,supported,0.949,hard,Housing market data,4
PI_00168,Higher education subsidies increase enrollment (context 16),policy,supported,0.738,expert,Enrollment data,4
PI_00169,War on drugs has reduced drug use (context 16),policy,rejected,0.884,easy,Prevalence data,3
PI_00170,Affirmative action improves diversity (context 16),policy,supported,0.88,medium,University data,3
PI_00171,Minimum wage increases lead to job losses (context 17),policy,undecided,0.812,expert,Labor economics,4
PI_00172,Universal basic income reduces poverty (context 17),policy,undecided,0.587,easy,Pilot studies,1
PI_00173,Carbon taxes effectively reduce emissions (context 17),policy,supported,0.712,medium,European data,3
PI_00174,Strict gun laws reduce gun violence (context 17),policy,supported,0.854,hard,Comparative studies,2
PI_00175,Free trade benefits all parties equally (context 17),policy,rejected,0.925,expert,Trade deficit data,4
PI_00176,Immigration boosts economic growth (context 17),policy,supported,0.808,easy,GDP analysis,3
PI_00177,Rent control reduces housing supply (context 17),policy,supported,0.786,medium,Housing market data,4
PI_00178,Higher education subsidies increase enrollment (context 17),policy,supported,0.783,hard,Enrollment data,3
PI_00179,War on drugs has reduced drug use (context 17),policy,rejected,0.949,expert,Prevalence data,2
PI_00180,Affirmative action improves diversity (context 17),policy,supported,0.567,easy,University data,4
PI_00181,Minimum wage increases lead to job losses (context 18),policy,undecided,0.785,hard,Labor economics,1
PI_00182,Universal basic income reduces poverty (context 18),policy,undecided,0.698,expert,Pilot studies,1
PI_00183,Carbon taxes effectively reduce emissions (context 18),policy,supported,0.773,easy,European data,3
PI_00184,Strict gun laws reduce gun violence (context 18),policy,supported,0.737,medium,Comparative studies,2
PI_00185,Free trade benefits all parties equally (context 18),policy,rejected,0.792,hard,Trade deficit data,2
PI_00186,Immigration boosts economic growth (context 18),policy,supported,0.684,expert,GDP analysis,3
PI_00187,Rent control reduces housing supply (context 18),policy,supported,0.652,easy,Housing market data,4
PI_00188,Higher education subsidies increase enrollment (context 18),policy,supported,0.779,medium,Enrollment data,2
PI_00189,War on drugs has reduced drug use (context 18),policy,rejected,0.697,hard,Prevalence data,1
PI_00190,Affirmative action improves diversity (context 18),policy,supported,0.834,expert,University data,2
PI_00191,Minimum wage increases lead to job losses (context 19),policy,undecided,0.763,medium,Labor economics,4
PI_00192,Universal basic income reduces poverty (context 19),policy,undecided,0.927,hard,Pilot studies,3
PI_00193,Carbon taxes effectively reduce emissions (context 19),policy,supported,0.928,expert,European data,1
PI_00194,Strict gun laws reduce gun violence (context 19),policy,supported,0.885,easy,Comparative studies,2
PI_00195,Free trade benefits all parties equally (context 19),policy,rejected,0.727,medium,Trade deficit data,2
PI_00196,Immigration boosts economic growth (context 19),policy,supported,0.657,hard,GDP analysis,2
PI_00197,Rent control reduces housing supply (context 19),policy,supported,0.683,expert,Housing market data,3
PI_00198,Higher education subsidies increase enrollment (context 19),policy,supported,0.865,easy,Enrollment data,1
PI_00199,War on drugs has reduced drug use (context 19),policy,rejected,0.728,medium,Prevalence data,3
PI_00200,Affirmative action improves diversity (context 19),policy,supported,0.94,hard,University data,2
PI_00201,Minimum wage increases lead to job losses (context 20),policy,undecided,0.681,easy,Labor economics,3
PI_00202,Universal basic income reduces poverty (context 20),policy,undecided,0.615,medium,Pilot studies,3
PI_00203,Carbon taxes effectively reduce emissions (context 20),policy,supported,0.896,hard,European data,1
PI_00204,Strict gun laws reduce gun violence (context 20),policy,supported,0.702,expert,Comparative studies,3
PI_00205,Free trade benefits all parties equally (context 20),policy,rejected,0.702,easy,Trade deficit data,1
PI_00206,Immigration boosts economic growth (context 20),policy,supported,0.753,medium,GDP analysis,1
PI_00207,Rent control reduces housing supply (context 20),policy,supported,0.931,hard,Housing market data,2
PI_00208,Higher education subsidies increase enrollment (context 20),policy,supported,0.618,expert,Enrollment data,4
PI_00209,War on drugs has reduced drug use (context 20),policy,rejected,0.587,easy,Prevalence data,4
PI_00210,Affirmative action improves diversity (context 20),policy,supported,0.678,medium,University data,4
PI_00211,Minimum wage increases lead to job losses (context 21),policy,undecided,0.651,expert,Labor economics,2
PI_00212,Universal basic income reduces poverty (context 21),policy,undecided,0.62,easy,Pilot studies,3
PI_00213,Carbon taxes effectively reduce emissions (context 21),policy,supported,0.714,medium,European data,2
PI_00214,Strict gun laws reduce gun violence (context 21),policy,supported,0.688,hard,Comparative studies,3
PI_00215,Free trade benefits all parties equally (context 21),policy,rejected,0.682,expert,Trade deficit data,2
PI_00216,Immigration boosts economic growth (context 21),policy,supported,0.842,easy,GDP analysis,2
PI_00217,Rent control reduces housing supply (context 21),policy,supported,0.569,medium,Housing market data,4
PI_00218,Higher education subsidies increase enrollment (context 21),policy,supported,0.568,hard,Enrollment data,1
PI_00219,War on drugs has reduced drug use (context 21),policy,rejected,0.58,expert,Prevalence data,1
PI_00220,Affirmative action improves diversity (context 21),policy,supported,0.602,easy,University data,3
PI_00221,Minimum wage increases lead to job losses (context 22),policy,undecided,0.73,hard,Labor economics,3
PI_00222,Universal basic income reduces poverty (context 22),policy,undecided,0.767,expert,Pilot studies,1
PI_00223,Carbon taxes effectively reduce emissions (context 22),policy,supported,0.567,easy,European data,2
PI_00224,Strict gun laws reduce gun violence (context 22),policy,supported,0.623,medium,Comparative studies,1
PI_00225,Free trade benefits all parties equally (context 22),policy,rejected,0.572,hard,Trade deficit data,1
PI_00226,Immigration boosts economic growth (context 22),policy,supported,0.603,expert,GDP analysis,3
PI_00227,Rent control reduces housing supply (context 22),policy,supported,0.588,easy,Housing market data,2
PI_00228,Higher education subsidies increase enrollment (context 22),policy,supported,0.682,medium,Enrollment data,1
PI_00229,War on drugs has reduced drug use (context 22),policy,rejected,0.68,hard,Prevalence data,4
PI_00230,Affirmative action improves diversity (context 22),policy,supported,0.662,expert,University data,1
PI_00231,Minimum wage increases lead to job losses (context 23),policy,undecided,0.761,medium,Labor economics,1
PI_00232,Universal basic income reduces poverty (context 23),policy,undecided,0.621,hard,Pilot studies,2
PI_00233,Carbon taxes effectively reduce emissions (context 23),policy,supported,0.587,expert,European data,4
PI_00234,Strict gun laws reduce gun violence (context 23),policy,supported,0.771,easy,Comparative studies,2
PI_00235,Free trade benefits all parties equally (context 23),policy,rejected,0.584,medium,Trade deficit data,3
PI_00236,Immigration boosts economic growth (context 23),policy,supported,0.88,hard,GDP analysis,2
PI_00237,Rent control reduces housing supply (context 23),policy,supported,0.681,expert,Housing market data,3
PI_00238,Higher education subsidies increase enrollment (context 23),policy,supported,0.609,easy,Enrollment data,2
PI_00239,War on drugs has reduced drug use (context 23),policy,rejected,0.621,medium,Prevalence data,2
PI_00240,Affirmative action improves diversity (context 23),policy,supported,0.735,hard,University data,3
PI_00241,Minimum wage increases lead to job losses (context 24),policy,undecided,0.752,easy,Labor economics,2
PI_00242,Universal basic income reduces poverty (context 24),policy,undecided,0.767,medium,Pilot studies,2
PI_00243,Carbon taxes effectively reduce emissions (context 24),policy,supported,0.944,hard,European data,2
PI_00244,Strict gun laws reduce gun violence (context 24),policy,supported,0.708,expert,Comparative studies,1
PI_00245,Free trade benefits all parties equally (context 24),policy,rejected,0.839,easy,Trade deficit data,3
PI_00246,Immigration boosts economic growth (context 24),policy,supported,0.571,medium,GDP analysis,2
PI_00247,Rent control reduces housing supply (context 24),policy,supported,0.87,hard,Housing market data,3
PI_00248,Higher education subsidies increase enrollment (context 24),policy,supported,0.838,expert,Enrollment data,4
PI_00249,War on drugs has reduced drug use (context 24),policy,rejected,0.89,easy,Prevalence data,1
PI_00250,Affirmative action improves diversity (context 24),policy,supported,0.827,medium,University data,3
PI_00251,Minimum wage increases lead to job losses (context 25),policy,undecided,0.902,expert,Labor economics,3
PI_00252,Universal basic income reduces poverty (context 25),policy,undecided,0.856,easy,Pilot studies,3
PI_00253,Carbon taxes effectively reduce emissions (context 25),policy,supported,0.802,medium,European data,3
PI_00254,Strict gun laws reduce gun violence (context 25),policy,supported,0.557,hard,Comparative studies,3
PI_00255,Free trade benefits all parties equally (context 25),policy,rejected,0.663,expert,Trade deficit data,3
PI_00256,Immigration boosts economic growth (context 25),policy,supported,0.67,easy,GDP analysis,1
PI_00257,Rent control reduces housing supply (context 25),policy,supported,0.571,medium,Housing market data,4
PI_00258,Higher education subsidies increase enrollment (context 25),policy,supported,0.849,hard,Enrollment data,4
PI_00259,War on drugs has reduced drug use (context 25),policy,rejected,0.55,expert,Prevalence data,4
PI_00260,Affirmative action improves diversity (context 25),policy,supported,0.921,easy,University data,1
PI_00261,Minimum wage increases lead to job losses (context 26),policy,undecided,0.943,hard,Labor economics,2
PI_00262,Universal basic income reduces poverty (context 26),policy,undecided,0.655,expert,Pilot studies,4
PI_00263,Carbon taxes effectively reduce emissions (context 26),policy,supported,0.563,easy,European data,2
PI_00264,Strict gun laws reduce gun violence (context 26),policy,supported,0.607,medium,Comparative studies,4
PI_00265,Free trade benefits all parties equally (context 26),policy,rejected,0.585,hard,Trade deficit data,1
PI_00266,Immigration boosts economic growth (context 26),policy,supported,0.573,expert,GDP analysis,3
PI_00267,Rent control reduces housing supply (context 26),policy,supported,0.832,easy,Housing market data,2
PI_00268,Higher education subsidies increase enrollment (context 26),policy,supported,0.551,medium,Enrollment data,3
PI_00269,War on drugs has reduced drug use (context 26),policy,rejected,0.748,hard,Prevalence data,1
PI_00270,Affirmative action improves diversity (context 26),policy,supported,0.556,expert,University data,4
PI_00271,Minimum wage increases lead to job losses (context 27),policy,undecided,0.638,medium,Labor economics,3
PI_00272,Universal basic income reduces poverty (context 27),policy,undecided,0.607,hard,Pilot studies,4
PI_00273,Carbon taxes effectively reduce emissions (context 27),policy,supported,0.873,expert,European data,1
PI_00274,Strict gun laws reduce gun violence (context 27),policy,supported,0.896,easy,Comparative studies,4
PI_00275,Free trade benefits all parties equally (context 27),policy,rejected,0.85,medium,Trade deficit data,2
PI_00276,Immigration boosts economic growth (context 27),policy,supported,0.731,hard,GDP analysis,1
PI_00277,Rent control reduces housing supply (context 27),policy,supported,0.665,expert,Housing market data,2
PI_00278,Higher education subsidies increase enrollment (context 27),policy,supported,0.919,easy,Enrollment data,1
PI_00279,War on drugs has reduced drug use (context 27),policy,rejected,0.929,medium,Prevalence data,4
PI_00280,Affirmative action improves diversity (context 27),policy,supported,0.563,hard,University data,3
PI_00281,Minimum wage increases lead to job losses (context 28),policy,undecided,0.628,easy,Labor economics,4
PI_00282,Universal basic income reduces poverty (context 28),policy,undecided,0.63,medium,Pilot studies,3
PI_00283,Carbon taxes effectively reduce emissions (context 28),policy,supported,0.815,hard,European data,2
PI_00284,Strict gun laws reduce gun violence (context 28),policy,supported,0.775,expert,Comparative studies,3
PI_00285,Free trade benefits all parties equally (context 28),policy,rejected,0.685,easy,Trade deficit data,2
PI_00286,Immigration boosts economic growth (context 28),policy,supported,0.803,medium,GDP analysis,3
PI_00287,Rent control reduces housing supply (context 28),policy,supported,0.766,hard,Housing market data,1
PI_00288,Higher education subsidies increase enrollment (context 28),policy,supported,0.593,expert,Enrollment data,3
PI_00289,War on drugs has reduced drug use (context 28),policy,rejected,0.606,easy,Prevalence data,2
PI_00290,Affirmative action improves diversity (context 28),policy,supported,0.813,medium,University data,2
PI_00291,Minimum wage increases lead to job losses (context 29),policy,undecided,0.629,expert,Labor economics,2
PI_00292,Universal basic income reduces poverty (context 29),policy,undecided,0.914,easy,Pilot studies,2
PI_00293,Carbon taxes effectively reduce emissions (context 29),policy,supported,0.795,medium,European data,2
PI_00294,Strict gun laws reduce gun violence (context 29),policy,supported,0.808,hard,Comparative studies,4
PI_00295,Free trade benefits all parties equally (context 29),policy,rejected,0.609,expert,Trade deficit data,2
PI_00296,Immigration boosts economic growth (context 29),policy,supported,0.59,easy,GDP analysis,1
PI_00297,Rent control reduces housing supply (context 29),policy,supported,0.929,medium,Housing market data,2
PI_00298,Higher education subsidies increase enrollment (context 29),policy,supported,0.591,hard,Enrollment data,2
PI_00299,War on drugs has reduced drug use (context 29),policy,rejected,0.63,expert,Prevalence data,1
PI_00300,Affirmative action improves diversity (context 29),policy,supported,0.61,easy,University data,3
PI_00301,Minimum wage increases lead to job losses (context 30),policy,undecided,0.611,hard,Labor economics,1
PI_00302,Universal basic income reduces poverty (context 30),policy,undecided,0.863,expert,Pilot studies,4
PI_00303,Carbon taxes effectively reduce emissions (context 30),policy,supported,0.924,easy,European data,2
PI_00304,Strict gun laws reduce gun violence (context 30),policy,supported,0.804,medium,Comparative studies,2
PI_00305,Free trade benefits all parties equally (context 30),policy,rejected,0.938,hard,Trade deficit data,2
PI_00306,Immigration boosts economic growth (context 30),policy,supported,0.792,expert,GDP analysis,3
PI_00307,Rent control reduces housing supply (context 30),policy,supported,0.574,easy,Housing market data,2
PI_00308,Higher education subsidies increase enrollment (context 30),policy,supported,0.873,medium,Enrollment data,3
